Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
"Dong Zhou, the Tyrant",Human Soldier,5.0,R,"When Dong Zhou enters, target creature an opponent controls deals damage equal to its power to that player.",,3,3
Donna Noble,Human,4.0,R,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)Whenever Donna Noble or a creature it's paired with is dealt damage, Donna Noble deals that much damage to target opponent.Doctor's companion (You can have two commanders if the other is the Doctor.)","Soulbond, Doctor's companion",2,4
"Dorothea, Vengeful Victim // Dorothea's Retribution",Spirit // Enchantment,2.0,"U, W",Missing Oracle Text,"Flying, Transform, Enchant, Disturb",0,0
"Drafna, Founder of Lat-Nam",Human Artificer Advisor,2.0,U,"{1}{U}: Return target artifact you control to its owner's hand.{3}, {T}: Copy target artifact spell you control. (The copy becomes a token.)",,2,1
Dragon Cultist,Background,5.0,R,"Commander creatures you own have ""At the beginning of your end step, if a source you controlled dealt 5 or more damage this turn, create a 4/4 red Dragon creature token with flying.""",,0,0
Dragonlord Atarka,Elder Dragon,7.0,"G, R","Flying, trampleWhen Dragonlord Atarka enters, it deals 5 damage divided as you choose among any number of target creatures and/or planeswalkers your opponents control.","Flying, Trample",8,8
Dragonlord Kolaghan,Elder Dragon,6.0,"B, R","Flying, hasteOther creatures you control have haste.Whenever an opponent casts a creature or planeswalker spell with the same name as a card in their graveyard, that player loses 10 life.","Flying, Haste",6,5
Dragonlord Silumgar,Elder Dragon,6.0,"B, U","Flying, deathtouchWhen Dragonlord Silumgar enters, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar.","Deathtouch, Flying",3,5
"Drakuseth, Maw of Flames",Dragon,7.0,R,"FlyingWhenever Drakuseth attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.",Flying,7,7
"Drana, Kalastria Bloodchief",Vampire Shaman,5.0,B,Flying{X}{B}{B}: Target creature gets -0/-X until end of turn and Drana gets +X/+0 until end of turn.,Flying,4,4
"Drana, the Last Bloodchief",Vampire Cleric,5.0,B,"FlyingWhenever Drana attacks, defending player chooses a nonlegendary creature card in your graveyard. You return that card to the battlefield with an additional +1/+1 counter on it. The creature is a Vampire in addition to its other types.",Flying,4,4
"Drivnod, Carnage Dominus",Phyrexian Horror,5.0,B,"If a creature dying causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.{B/P}{B/P}, Exile three creature cards from your graveyard: Put an indestructible counter on Drivnod. ({B/P} can be paid with either {B} or 2 life.)",,8,3
Drizzt Do'Urden,Elf Ranger,5.0,"G, W","Double strikeWhen Drizzt enters, create Guenhwyvar, a legendary 4/1 green Cat creature token with trample.Whenever a creature dies, if it had power greater than Drizzt's power, put a number of +1/+1 counters on Drizzt equal to the difference.",Double strike,3,3
Dr. Julius Jumblemorph,No Subtype,4.0,"G, W","Dr. Julius Jumblemorph is every creature type (even if this card isn't on the battlefield).Whenever a host you control enters, you may search your library and/or graveyard for a card with augment and combine it with that host. If you search your library this way, shuffle.",,4,4
"Dromoka, the Eternal",Dragon,5.0,"G, W","FlyingWhenever a Dragon you control attacks, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)","Bolster, Flying",5,5
"Duchess, Wayward Tavernkeep",Human Citizen,4.0,R,"Hunters for Hire — Whenever a creature you control deals combat damage to a player, put a quest counter on it.{1}, Remove a quest counter from a permanent you control: Create a Junk token. (It's an artifact with ""{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery."")",Hunters for Hire,4,3
"Duggan, Private Detective",Human Detective,4.0,"G, U","Duggan's power and toughness are each equal to the number of cards in your hand.Whenever Duggan enters or attacks, investigate.The Most Important Punch in History — {1}{G}, {T}: Duggan deals damage equal to twice its power to another target creature. Activate only once.","The Most Important Punch in History, Investigate",0,0
Dungeon Delver,Background,2.0,U,"Commander creatures you own have ""Room abilities of dungeons you own trigger an additional time.""",,0,0
Durnan of the Yawning Portal,Human Warrior,4.0,G,"Whenever Durnan attacks, look at the top four cards of your library. You may exile a creature card from among them. Put the rest on the bottom of your library in any order. For as long as that card remains exiled, you may cast it. That spell has undaunted. (It costs {1} less to cast for each opponent.)Choose a Background (You can have a Background as a second commander.)",Choose a background,3,3
"Dwynen, Gilt-Leaf Daen",Elf Warrior,4.0,G,"Reach (This creature can block creatures with flying.)Other Elf creatures you control get +1/+1.Whenever Dwynen attacks, you gain 1 life for each attacking Elf you control.",Reach,3,4
"Ebondeath, Dracolich",Zombie Dragon,4.0,B,"FlashFlyingEbondeath enters tapped.You may cast this card from your graveyard if a creature not named Ebondeath, Dracolich died this turn.","Flying, Flash",5,2
"Edgar, Charmed Groom // Edgar Markov's Coffin",Vampire Noble // Legendary Artifact,4.0,"B, W",Missing Oracle Text,Transform,0,0
"Effie, Fast Learner",Human Survivor,3.0,"G, W","EnlistSurvival — At the beginning of your second main phase, if Effie is tapped, put a +1/+1 counter on each tapped creature you control. Then seek a Survivor card with mana value less than or equal to the number of tapped creatures you control.","Seek, Survival, Enlist",3,3
"Egon, God of Death // Throne of Death",God // Legendary Artifact,3.0,B,Missing Oracle Text,"Mill, Deathtouch",0,0
"Eivor, Battle-Ready",Human Assassin Warrior,5.0,"R, W","Vigilance (Attacking doesn't cause this creature to tap.)Haste (This creature can attack as soon as it comes under your control.)Whenever Eivor attacks, it deals damage equal to the number of Equipment you control to each opponent.","Vigilance, Haste",5,5
Elanor Gardner,Halfling Scout,4.0,G,"When Elanor enters, create a Food token.At the beginning of your end step, if you sacrificed a Food this turn, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",Food,2,4
Elder Arthur Maxson,Human Knight,3.0,"B, W","Creature tokens you control have training. (Whenever a creature token you control attacks with another creature with greater power, put a +1/+1 counter on that token.)Blind Betrayal — Sacrifice another creature: Elder Arthur Maxson gains indestructible until end of turn.",Blind Betrayal,4,2
Elder Owyn Lyons,Human Knight,4.0,"U, W","Artifacts you control have ward {1}. (Whenever an artifact you control becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)When Elder Owyn Lyons enters or dies, return target artifact card from your graveyard to your hand.",,3,3
Elesh Norn // The Argent Etchings,Phyrexian Praetor // Enchantment,4.0,W,Missing Oracle Text,"Incubate, Vigilance, Transform",0,0
"Eligeth, Crossroads Augur",Sphinx,6.0,U,"FlyingIf you would scry a number of cards, draw that many cards instead.Partner (You can have two commanders if both have partner.)","Flying, Partner",5,6
"Ellyn Harbreeze, Busybody",Human Peasant,4.0,W,"{T}: Look at the top X cards of your library, where X is the number of tokens you created this turn. Put one of those cards into your hand and the rest on the bottom of your library in a random order.Choose a Background (You can have a Background as a second commander.)",Choose a background,2,4
"Elmar, Ulvenwald Informant",Human,3.0,"G, R","HasteWhenever you cast your second spell each turn, untap target creature, then investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")Friends forever (You can have two commanders if both have friends forever.)","Investigate, Haste, Friends forever",3,2
"Elrond, Lord of Rivendell",Elf Noble,3.0,U,"Whenever Elrond or another creature you control enters, scry 1. If this is the second time this ability has resolved this turn, the Ring tempts you.",Scry,3,2
"Emet-Selch, Unsundered // Hades, Sorcerer of Eld",Elder Wizard // Legendary Creature,3.0,"B, U",Missing Oracle Text,"Vigilance, Echo of the Lost, Transform",0,0
Emissary Green,Human Advisor,5.0,G,"Whenever Emissary Green attacks, starting with you, each player votes for profit or security. You create a number of Treasure tokens equal to twice the number of profit votes. Put a number of +1/+1 counters on each creature you control equal to the number of security votes.",Treasure,3,3
Emmara Tandris,Elf Shaman,7.0,"G, W",Prevent all damage that would be dealt to creature tokens you control.,,5,7
"Emmara, Voice of the Conclave",Elf Cleric,3.0,"G, W","ConvokeWhen Emmara, Voice of the Conclave enters, draft a card from Emmara, Voice of the Conclave's spellbook.",Convoke,2,3
Emperor Apatzec Intli IV,Human Noble,3.0,"G, R, W","Whenever another creature enters under your control, that creature perpetually gains haste if its power is 4 or greater. If its toughness is 4 or greater, you gain 4 life. If its mana value is 4 or greater, seek a creature card.",Seek,3,4
"Emrakul, the World Anew",Eldrazi,12.0,No Color Identity,"When you cast this spell, gain control of all creatures target player controls.Flying, protection from spells and from permanents that were cast this turnWhen Emrakul leaves the battlefield, sacrifice all creatures you control.Madness—Pay six {C}.","Flying, Madness, Protection",12,12
"Eomer, Marshal of Rohan",Human Knight,4.0,R,"HasteWhenever one or more other attacking legendary creatures you control die, untap all creatures you control. After this phase, there is an additional combat phase. This ability triggers only once each turn.",Haste,4,4
Eomer of the Riddermark,Human Knight,5.0,R,"HasteWhenever Éomer attacks, if you control a creature with the greatest power among creatures on the battlefield, create a 1/1 white Human Soldier creature token.",Haste,5,4
"Eowyn, Fearless Knight",Human Knight,4.0,"R, W","HasteWhen Éowyn enters, exile target creature an opponent controls with greater power. Legendary creatures you control gain protection from each of that creature's colors until end of turn.",Haste,3,4
"Eowyn, Lady of Rohan",Human Noble,3.0,W,"At the beginning of combat on your turn, target creature gains your choice of first strike or vigilance until end of turn. If that creature is equipped, it gains first strike and vigilance until end of turn instead.Equip abilities you activate cost {1} less to activate.",,2,4
"Erebos, Bleak-Hearted",God,4.0,B,"IndestructibleAs long as your devotion to black is less than five, Erebos isn't a creature.Whenever another creature you control dies, you may pay 2 life. If you do, draw a card.{1}{B}, Sacrifice another creature: Target creature gets -2/-1 until end of turn.",Indestructible,5,6
"Erinis, Gloom Stalker",Halfling Ranger,3.0,G,"DeathtouchWhenever Erinis attacks, return target land card from your graveyard to the battlefield.Choose a Background (You can have a Background as a second commander.)","Choose a background, Deathtouch",3,3
"Erkenbrand, Lord of Westfold",Human Soldier,4.0,R,"Whenever Erkenbrand or another Human you control enters, creatures you control get +1/+0 until end of turn.",,3,3
"Ertai, the Corrupted",Phyrexian Human Wizard,5.0,"B, U, W","{U}, {T}, Sacrifice a creature or enchantment: Counter target spell.",,3,4
Eshki Dragonclaw,Human Warrior,4.0,"G, R, U","Vigilance, trample, ward {1}At the beginning of combat on your turn, if you've cast both a creature spell and a noncreature spell this turn, draw a card and put two +1/+1 counters on Eshki Dragonclaw.","Vigilance, Trample, Ward",4,4
"Esika, God of the Tree // The Prismatic Bridge",God // Legendary Enchantment,3.0,"B, G, R, U, W",Missing Oracle Text,Vigilance,0,0
"Esior, Wardwing Familiar",Bird,2.0,U,FlyingSpells your opponents cast that target one or more commanders you control cost {3} more to cast.Partner (You can have two commanders if both have partner.),"Flying, Partner",1,3
"Etali, Primal Conqueror // Etali, Primal Sickness",Elder Dinosaur // Legendary Creature,7.0,"G, R",Missing Oracle Text,"Indestructible, Transform, Trample",0,0
"Ethrimik, Imagined Fiend",Illusion Beast,4.0,W,"When Ethrimik enters, manifest dread.Other creatures you control get +1/+1.As long as you control another creature, Ethrimik can't attack or block.","Manifest, Manifest dread",5,5
"Euru, Acorn Scrounger",Squirrel Soldier,4.0,"B, G","When Euru, Acorn Scrounger enters, you may forage. When you do, conjure a card named Chitterspitter onto the battlefield.Whenever one or more Squirrels you control deal combat damage to a player, you may sacrifice a token. If you do, put an acorn counter on each permanent you control named Chitterspitter.","Forage, Conjure",3,3
Eutropia the Twice-Favored,Human Wizard,3.0,"G, U","Constellation — Whenever an enchantment you control enters, put a +1/+1 counter on target creature. That creature gains flying until end of turn.",Constellation,2,2
Evie Frye,Human Assassin,2.0,U,"Partner with Jacob Frye (When this creature enters, target player may put Jacob into their hand from their library, then shuffle.){1}, {T}: Draw a card, then discard a card. When you discard a creature card this way, target creature you control can't be blocked this turn.","Partner with, Partner",2,1
"Evin, Waterdeep Opportunist",Human Rogue,4.0,B,"MenaceWard—Sacrifice a creature.Evin gets +2/+0 for each Treasure you control.Whenever one or more players sacrifice one or more creatures, you create a tapped Treasure token. This ability triggers only once each turn.","Treasure, Menace, Ward",2,4
"Evra, Halcyon Witness",Avatar,6.0,W,Lifelink{4}: Exchange your life total with Evra's power.,Lifelink,4,4
"Exava, Rakdos Blood Witch",Human Cleric,4.0,"B, R","First strike, hasteUnleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)Each other creature you control with a +1/+1 counter on it has haste.","First strike, Haste, Unleash",3,3
"Extus, Oriq Overlord // Awaken the Blood Avatar",Human Warlock // Sorcery,4.0,"B, R, W",Missing Oracle Text,"Magecraft, Double strike",0,0
"Ezio, Brash Novice",Human,2.0,"R, W","Whenever Ezio attacks, put a +1/+1 counter on it.As long as Ezio has two or more counters on it, it has first strike and is an Assassin in addition to its other types.",,1,1
Faceless One,Background,5.0,No Color Identity,"If Faceless One is your commander, choose a color before the game begins. Faceless One is the chosen color.Choose a Background (You can have a Background as a second commander.)",Choose a background,3,3
"Fain, the Broker",Human Warlock,3.0,B,"{T}, Sacrifice a creature: Put two +1/+1 counters on target creature.{T}, Remove a counter from a creature you control: Create a Treasure token.{T}, Sacrifice an artifact: Create a 2/1 white and black Inkling creature token with flying.{3}{B}: Untap Fain.",Treasure,3,3
"Falthis, Shadowcat Familiar",Nightmare Cat,3.0,B,Commanders you control have menace and deathtouch.Partner (You can have two commanders if both have partner.),Partner,2,2
"Faramir, Field Commander",Human Soldier,4.0,W,"At the beginning of your end step, if a creature died under your control this turn, draw a card.Whenever the Ring tempts you, if you chose a creature other than Faramir as your Ring-bearer, create a 1/1 white Human Soldier creature token.",,3,3
"Far Fortune, End Boss",Human Mercenary,4.0,"B, R","Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)Whenever you attack, Far Fortune deals 1 damage to each opponent.Max speed — If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus 1 instead.","Max speed, Start your engines!",4,5
"Farid, Enterprising Salvager",Human Soldier,3.0,R,"Whenever a nontoken artifact you control is put into a graveyard from the battlefield, create a colorless artifact token named Scrap.{1}{R}, Sacrifice an artifact: Choose one —• Put a +1/+1 counter on Farid. It gains menace until end of turn.• Goad target creature.• Discard a card, then draw a card.",Goad,3,3
Far Traveler,Background,3.0,W,"Commander creatures you own have ""At the beginning of your end step, exile up to one target tapped creature you control, then return it to the battlefield under its owner's control.""",,0,0
Feldon of the Third Path,Human Artificer,3.0,R,"{2}{R}, {T}: Create a token that's a copy of target creature card in your graveyard, except it's an artifact in addition to its other types. It gains haste. Sacrifice it at the beginning of the next end step.",,2,3
"Feldon, Ronom Excavator",Human Artificer,2.0,R,"HasteFeldon can't block.Whenever Feldon is dealt damage, exile that many cards from the top of your library. Choose one of them. Until the end of your next turn, you may play that card.",Haste,2,2
"Felothar, Dawn of the Abzan",Human Warrior,3.0,"B, G, W","TrampleWhenever Felothar enters or attacks, you may sacrifice a nonland permanent. When you do, put a +1/+1 counter on each creature you control.",Trample,3,3
Feywild Visitor,Background,3.0,U,"Commander creatures you own have ""Whenever one or more nontoken creatures you control deal combat damage to a player, you create a 1/1 blue Faerie Dragon creature token with flying.""",,0,0
"Flamewar, Brash Veteran // Flamewar, Streetwise Operative",Robot // Legendary Artifact,3.0,"B, R",Missing Oracle Text,"Living metal, Convert, Menace, More Than Meets the Eye, Deathtouch",0,0
Flaming Fist,Background,3.0,W,"Commander creatures you own have ""Whenever this creature attacks, it gains double strike until end of turn.""",,0,0
Fluros of Myra's Marvels,Merfolk Performer,4.0,U,"As Fluros of Myra's Marvels enters, choose a number greater than 0.Whenever you cast a spell with power, toughness, or loyalty equal to the chosen number, target artifact or creature becomes an artifact creature with base power and toughness X/X until end of turn, where X is the chosen number.Partner",Partner,3,4
Folk Hero,Background,2.0,W,"Commander creatures you own have ""Whenever you cast a spell that shares a creature type with this creature, draw a card. This ability triggers only once each turn.""",,0,0
"Fortune, Loyal Steed",Beast Mount,3.0,W,"When Fortune enters, scry 2.Whenever Fortune attacks while saddled, at end of combat, exile it and up to one creature that saddled it this turn, then return those cards to the battlefield under their owner's control.Saddle 1","Saddle, Scry",2,4
"Francisco, Fowl Marauder",Bird Pirate,2.0,B,"FlyingFrancisco can't block.Whenever one or more Pirates you control deal damage to a player, Francisco explores.Partner (You can have two commanders if both have partner.)","Flying, Partner, Explore",0,1
Frankie Peanuts,Elephant Rogue,4.0,W,"At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.",,2,3
"Frodo, Adventurous Hobbit",Halfling Scout,2.0,"B, W","Partner with Sam, Loyal AttendantVigilanceWhenever Frodo attacks, if you gained 3 or more life this turn, the Ring tempts you. Then if Frodo is your Ring-bearer and the Ring has tempted you two or more times this game, draw a card.","Partner with, Vigilance, Partner",1,3
"Frodo, Determined Hero",Halfling Warrior,2.0,W,"Whenever Frodo enters or attacks, you may attach target Equipment you control with mana value 2 or 3 to Frodo.During your turn, prevent all damage that would be dealt to Frodo.",,2,2
Fumiko the Lowblood,Human Samurai,4.0,R,"Fumiko has bushido X, where X is the number of attacking creatures. (Whenever this creature blocks or becomes blocked, it gets +X/+X until end of turn.)Creatures your opponents control attack each combat if able.",,3,2
"Furgul, Quag Nurturer",Elf Shaman,4.0,"B, G","At the beginning of your end step, conjure a card named Slimy Dualleech onto the battlefield if you control no Leeches. Otherwise, put a +1/+1 counter on each Leech you control.{T}, Sacrifice a creature: Add an amount of {G} equal to the sacrificed creature's power.",Conjure,2,4
"Gadrak, the Crown-Scourge",Dragon,3.0,R,"FlyingGadrak can't attack unless you control four or more artifacts.At the beginning of your end step, create a Treasure token for each nontoken creature that died this turn. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","Flying, Treasure",5,4
"Gadwick, the Wizened",Human Wizard,3.0,U,"When Gadwick enters, draw X cards.Whenever you cast a blue spell, tap target nonland permanent an opponent controls.",,3,3
"Galadriel, Gift-Giver",Elf Noble,5.0,G,"Whenever Galadriel enters or attacks, choose one —• Put a +1/+1 counter on another target creature.• Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")• Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")","Treasure, Food",4,4
"Gale, Conduit of the Arcane",Human Wizard,4.0,U,"Specialize {2}When Gale, Conduit of the Arcane enters, if you cast it, return target instant or sorcery card from your graveyard to your hand.",Specialize,2,3
"Gale, Waterdeep Prodigy",Human Wizard,3.0,U,"Whenever you cast an instant or sorcery spell from your hand, you may cast up to one target card of the other type from your graveyard. If a spell cast from your graveyard this way would be put into your graveyard, exile it instead.Choose a Background (You can have a Background as a second commander.)",Choose a background,1,3
Gallowbraid,Phyrexian Horror,5.0,B,"TrampleCumulative upkeep—Pay 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)","Trample, Cumulative upkeep",5,5
"Ganax, Astral Hunter",Dragon,5.0,R,"FlyingWhenever Ganax or another Dragon you control enters, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")Choose a Background (You can have a Background as a second commander.)","Flying, Choose a background, Treasure",3,4
"Gandalf, White Rider",Avatar Wizard,4.0,W,"VigilanceWhenever you cast a spell, creatures you control get +1/+0 until end of turn. Scry 1.When Gandalf dies, you may put it into its owner's library fifth from the top.","Vigilance, Scry",3,3
"Garland, Knight of Cornelia // Chaos, the Endless",Human Knight // Legendary Creature,2.0,"B, R",Missing Oracle Text,"Flying, Surveil, Transform",0,0
"Garna, the Bloodflame",Human Warrior,5.0,"B, R","FlashWhen Garna enters, return to your hand all creature cards in your graveyard that were put there from anywhere this turn.Other creatures you control have haste.",Flash,3,3
Gerrard Capashen,Human Soldier,5.0,W,"At the beginning of your upkeep, you gain 1 life for each card in target opponent's hand.{3}{W}: Tap target creature. Activate only if Gerrard Capashen is attacking.",,3,4
"Geth, Lord of the Vault",Phyrexian Zombie,6.0,B,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.){X}{B}: Put target artifact or creature card with mana value X from an opponent's graveyard onto the battlefield under your control tapped. Then that player mills X cards.,"Mill, Intimidate",5,5
"Geth, Thane of Contracts",Phyrexian Zombie,3.0,B,"Other creatures you control get -1/-1.{1}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains ""If this creature would leave the battlefield, exile it instead of putting it anywhere else."" Activate only as a sorcery.",,3,4
Ghalma the Shaper,Elephant Artificer,3.0,W,"VigilanceWhenever Ghalma the Shaper attacks, conjure a card named Tempered Steel into your hand, then create a 1/1 colorless Myr artifact creature token.","Vigilance, Conjure",3,3
Ghost Council of Orzhova,Spirit,4.0,"B, W","When Ghost Council of Orzhova enters, target opponent loses 1 life and you gain 1 life.{1}, Sacrifice a creature: Exile Ghost Council of Orzhova. Return it to the battlefield under its owner's control at the beginning of the next end step.",,4,4
Ghost of Ramirez DePietro,Spirit Pirate,3.0,U,"Ghost of Ramirez DePietro can't be blocked by creatures with toughness 3 or greater.Whenever Ghost of Ramirez DePietro deals combat damage to a player, choose up to one target card in a graveyard that was discarded or put there from a library this turn. Put that card into its owner's hand.Partner (You can have two commanders if both have partner.)",Partner,2,3
"Gilanra, Caller of Wirewood",Elf Druid,3.0,G,"{T}: Add {G}. When you spend this mana to cast a spell with mana value 6 or greater, draw a card.Partner (You can have two commanders if both have partner.)",Partner,1,2
"Gisa, Glorious Resurrector",Human Wizard,4.0,B,"If a creature an opponent controls would die, exile it instead.At the beginning of your upkeep, put all creature cards exiled with Gisa onto the battlefield under your control. They gain decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)",,4,4
"Gitrog, Horror of Zhava",Frog Horror,4.0,"B, G","MenaceAt the beginning of each combat, if Gitrog, Horror of Zhava is untapped, any opponent may sacrifice a nontoken creature. If they do, tap Gitrog, Horror of Zhava, then seek a land card and put it onto the battlefield tapped.Whenever a land enters under your control, it perpetually gains ""{B}{G}, {T}, Sacrifice this land: Draw a card.""","Seek, Menace",6,6
"Glacian, Powerstone Engineer",Human Artificer,6.0,U,"{T}, Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of those cards into your hand and the rest into your graveyard.Partner (You can have two commanders if both have partner.)",Partner,3,6
Gladiolus Amicitia,Human Warrior,6.0,"G, R","When Gladiolus Amicitia enters, search your library for a land card, put it onto the battlefield tapped, then shuffle.Landfall — Whenever a land you control enters, another target creature you control gets +2/+2 and gains trample until end of turn.",Landfall,6,6
Glissa Sunseeker,Elf Warrior,4.0,G,First strike{T}: Destroy target artifact if its mana value is equal to the amount of unspent mana you have.,First strike,3,2
"Gnostro, Voice of the Crags",Chimera,4.0,"R, U, W",{T}: Choose one. X is the number of spells you've cast this turn.• Scry X.• Gnostro deals X damage to target creature.• You gain X life.,Scry,3,3
"Goddric, Cloaked Reveler",Human Noble,3.0,R,"HasteCelebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)","Flying, Celebration, Haste",3,3
God-Eternal Bontu,Zombie God,5.0,B,"MenaceWhen God-Eternal Bontu enters, sacrifice any number of other permanents, then draw that many cards.When God-Eternal Bontu dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",Menace,5,6
God-Eternal Rhonas,Zombie God,5.0,G,"DeathtouchWhen God-Eternal Rhonas enters, double the power of each other creature you control until end of turn. Those creatures gain vigilance until end of turn.When God-Eternal Rhonas dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",Deathtouch,5,5
"Goldbug, Humanity's Ally // Goldbug, Scrappy Scout",Robot // Legendary Artifact,3.0,"U, W",Missing Oracle Text,"Living metal, Convert, More Than Meets the Eye",0,0
"Gollum, Patient Plotter",Halfling Horror,2.0,B,"When Gollum leaves the battlefield, the Ring tempts you.{B}, Sacrifice a creature: Return this card from your graveyard to your hand. Activate only as a sorcery.",,3,1
"Gollum, Scheming Guide",Halfling Horror,2.0,B,"Whenever Gollum attacks, look at the top two cards of your library, put them back in any order, then choose land or nonland. An opponent guesses whether the top card of your library is the chosen kind. Reveal that card. If they guessed right, remove Gollum from combat. Otherwise, you draw a card and Gollum can't be blocked this turn.",,2,1
"Gonti, Lord of Luxury",Aetherborn Rogue,4.0,B,"DeathtouchWhen Gonti enters, look at the top four cards of target opponent's library, exile one of them face down, then put the rest on the bottom of that library in a random order. You may cast that card for as long as it remains exiled, and mana of any type can be spent to cast that spell.",Deathtouch,2,3
"Gonti, Night Minister",Aetherborn Rogue,4.0,B,"Whenever a player casts a spell they don't own, that player creates a Treasure token.Whenever a creature deals combat damage to one of your opponents, its controller looks at the top card of that opponent's library and exiles it face down. They may play that card for as long as it remains exiled. Mana of any type can be spent to cast a spell this way.",Treasure,3,4
Gorm the Great,Giant Warrior,4.0,G,"Partner with Virtus the Veiled (When this creature enters, target player may put Virtus into their hand from their library, then shuffle.)VigilanceGorm must be blocked if able, and Gorm must be blocked by two or more creatures if able.","Partner with, Vigilance, Partner",2,7
"Goro-Goro, Disciple of Ryusei",Goblin Samurai,2.0,R,"{R}: Creatures you control gain haste until end of turn.{3}{R}{R}: Create a 5/5 red Dragon Spirit creature token with flying. Activate only if you control an attacking modified creature. (Equipment, Auras you control, and counters are modifications.)",,2,2
Go-Shintai of Ancient Wars,Shrine,3.0,R,"First strikeAt the beginning of your end step, you may pay {1}. When you do, Go-Shintai of Ancient Wars deals X damage to target player or planeswalker, where X is the number of Shrines you control.",First strike,2,2
Go-Shintai of Boundless Vigor,Shrine,2.0,G,"TrampleAt the beginning of your end step, you may pay {1}. When you do, put a +1/+1 counter on target Shrine for each Shrine you control.",Trample,1,1
Go-Shintai of Hidden Cruelty,Shrine,4.0,B,"DeathtouchAt the beginning of your end step, you may pay {1}. When you do, destroy target creature with toughness X or less, where X is the number of Shrines you control.",Deathtouch,2,2
Go-Shintai of Shared Purpose,Shrine,4.0,W,"VigilanceAt the beginning of your end step, you may pay {1}. If you do, create a 1/1 colorless Spirit creature token for each Shrine you control.",Vigilance,1,3
Gosta Dirk,Human Warrior,7.0,"U, W",First strikeCreatures with islandwalk can be blocked as though they didn't have islandwalk.,First strike,4,4
Graham O'Brien,Human Pilot,2.0,G,"Paradox — Whenever you cast a spell from anywhere other than your hand, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")Doctor's companion (You can have two commanders if the other is the Doctor.)","Food, Paradox, Doctor's companion",2,2
Grand Marshal Macie,Human Performer,3.0,"B, W","You may choose not to untap Grand Marshal Macie during your untap step. If you do, put a pause counter on it, then you lose 1 life for each pause counter on it.Whenever Macie becomes untapped, remove all pause counters from it.{2}, {T}: Choose an ""until end of turn"" or ""this turn"" effect. As long as Macie remains tapped, that effect doesn't end.",,2,2
Grandmother Sengir,Human Wizard,5.0,B,"{1}{B}, {T}: Target creature gets -1/-1 until end of turn.",,3,3
Grand Warlord Radha,Elf Warrior,4.0,"G, R","HasteWhenever one or more creatures you control attack, add that much mana in any combination of {R} and/or {G}. Until end of turn, you don't lose this mana as steps and phases end.",Haste,3,4
"Green Goblin, Nemesis",Goblin Human Villain,4.0,"B, R","FlyingWhenever you discard a nonland card, put a +1/+1 counter on target Goblin you control.Whenever you discard a land card, create a tapped Treasure token.","Flying, Treasure",3,3
"Grenzo, Crooked Jailer",Goblin Rogue,6.0,"B, R","When Grenzo enters and at the beginning of your upkeep, heist target opponent's library.Once each turn, you may pay {0} rather than pay the mana cost for a spell you cast that you don't own with mana value 3 or less.",Heist,6,4
"Grima, Saruman's Footman",Human Advisor,4.0,"B, U","Gríma can't be blocked.Whenever Gríma deals combat damage to a player, that player exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then that player puts the exiled cards that weren't cast this way on the bottom of their library in a random order.",,1,4
Grima Wormtongue,Human Advisor,3.0,B,"Your opponents can't gain life.{T}, Sacrifice another creature: Target player loses 1 life. If the sacrificed creature was legendary, amass Orcs 2.",Amass,1,4
