Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
"Drana, Liberator of Malakir",Vampire Ally,3.0,B,"Flying, first strikeWhenever Drana deals combat damage to a player, put a +1/+1 counter on each attacking creature you control.","Flying, First strike",2,3,Vampires
Dr. Madison Li,Human Scientist,3.0,"R, U, W","Whenever you cast an artifact spell, you get {E} (an energy counter).{T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn.{T}, Pay {E}{E}{E}: Draw a card.{T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.",,2,3,Energy
"Dromar, the Banisher",Dragon,6.0,"B, U, W","FlyingWhenever Dromar deals combat damage to a player, you may pay {2}{U}. If you do, choose a color, then return all creatures of that color to their owners' hands.",Flying,6,6,Bounce
Duke Ulder Ravengard,Human Noble Soldier,6.0,"R, W","At the beginning of combat on your turn, another target creature you control gains haste and myriad until end of turn. (Whenever it attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)",,5,5,Allies
"Duskana, the Rage Mother",Bear,5.0,"G, R, W","When Duskana enters, draw a card for each creature you control with base power and toughness 2/2.Whenever a creature you control with base power and toughness 2/2 attacks, it gets +3/+3 until end of turn.",,5,5,Bears
"Dynaheir, Invoker Adept",Human Wizard,4.0,"R, U, W","HasteYou may activate abilities of other creatures you control as though those creatures had haste.{T}: When you next activate an ability that isn't a mana ability this turn by spending four or more mana to activate it, copy that ability. You may choose new targets for the copy.",Haste,4,4,Pingers
"ED-E, Lonesome Eyebot",Robot,3.0,No Color Identity,"FlyingED-E My Love — Whenever you attack, if the number of attacking creatures is greater than the number of quest counters on ED-E, put a quest counter on it.{2}, Sacrifice ED-E: Draw a card, then draw an additional card for each quest counter on ED-E.","ED-E My Love, Flying",2,1,Scarecrows
Edgar Markov,Vampire Knight,6.0,"B, R, W","Eminence — Whenever you cast another Vampire spell, if Edgar is in the command zone or on the battlefield, create a 1/1 black Vampire creature token.First strike, hasteWhenever Edgar attacks, put a +1/+1 counter on each Vampire you control.","First strike, Haste, Eminence",4,4,Vampires
"Edric, Spymaster of Trest",Elf Rogue,3.0,"G, U","Whenever a creature deals combat damage to one of your opponents, its controller may draw a card.",,2,2,Extra Turns
Edward Kenway,Human Assassin Pirate,5.0,"B, R, U","At the beginning of your end step, create a Treasure token for each tapped Assassin, Pirate, and/or Vehicle you control.Whenever a Vehicle you control deals combat damage to a player, look at the top card of that player's library, then exile it face down. You may play that card for as long as it remains exiled.",Treasure,5,5,Treasure
Eight-and-a-Half-Tails,Fox Cleric,2.0,W,{1}{W}: Target permanent you control gains protection from white until end of turn.{1}: Target spell or permanent becomes white until end of turn.,,2,2,Foxes
"Eivor, Wolf-Kissed",Human Assassin Warrior,6.0,"G, R, W","Trample, hasteWhenever Eivor deals combat damage to a player, you mill that many cards. You may put a Saga card and/or a land card from among them onto the battlefield.","Haste, Trample, Mill",7,6,Sagas
"Eladamri, Korvecdal",Elf Warrior,3.0,G,"You may look at the top card of your library any time.You may cast creature spells from the top of your library.{G}, {T}, Tap two untapped creatures you control: Reveal a card from your hand or the top card of your library. If you reveal a creature card this way, put it onto the battlefield. Activate only during your turn.",,3,3,Elves
"Eladamri, Lord of Leaves",Elf Warrior,2.0,G,Other Elf creatures have forestwalk. (They can't be blocked as long as defending player controls a Forest.)Other Elves have shroud. (They can't be the targets of spells or abilities.),,2,2,Elves
"Elas il-Kor, Sadistic Pilgrim",Phyrexian Kor Cleric,2.0,"B, W","DeathtouchWhenever another creature you control enters, you gain 1 life.Whenever another creature you control dies, each opponent loses 1 life.",Deathtouch,2,2,Lifegain
Elenda and Azor,Vampire Knight Sphinx,6.0,"B, U, W","Flying, ward {2}Whenever Elenda and Azor attacks, you may pay {X}{W}{U}{B}. If you do, draw X cards.At the beginning of each end step, you may pay 4 life. If you do, create a number of 1/1 black Vampire Knight creature tokens with lifelink equal to the number of cards you've drawn this turn.","Flying, Ward",6,6,Wheels
"Elenda, Saint of Dusk",Vampire Knight,4.0,"B, W","Lifelink, hexproof from instantsAs long as your life total is greater than your starting life total, Elenda gets +1/+1 and has menace. Elenda gets an additional +5/+5 as long as your life total is at least 10 greater than your starting life total.","Lifelink, Hexproof from, Hexproof",4,4,Vampires
"Elenda, the Dusk Rose",Vampire Knight,4.0,"B, W","LifelinkWhenever another creature dies, put a +1/+1 counter on Elenda.When Elenda dies, create X 1/1 white Vampire creature tokens with lifelink, where X is Elenda's power.",Lifelink,1,1,Vampires
"Elesh Norn, Grand Cenobite",Phyrexian Praetor,7.0,W,VigilanceOther creatures you control get +2/+2.Creatures your opponents control get -2/-2.,Vigilance,4,7,Phyrexians
"Elesh Norn, Mother of Machines",Phyrexian Praetor,5.0,W,"VigilanceIf a permanent entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.Permanents entering don't cause abilities of permanents your opponents control to trigger.",Vigilance,4,7,Blink
"Ellie and Alan, Paleontologists",Human Scientist,5.0,"G, U, W","{T}, Exile a creature card from your graveyard: Discover X, where X is the mana value of the exiled card. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",Discover,2,5,Discard
Ellivere of the Wild Court,Human Knight,4.0,"G, W","Whenever Ellivere enters or attacks, create a Virtuous Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 for each enchantment you control.)Whenever an enchanted creature you control deals combat damage to a player, draw a card.",Role token,4,4,Auras
Elminster,Elminster,5.0,"U, W","Whenever you scry, the next instant or sorcery spell you cast this turn costs {X} less to cast, where X is the number of cards looked at while scrying this way.+2: Draw a card, then scry 2.−3: Exile the top card of your library. Create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to that card's mana value.Elminster can be your commander.",Scry,0,0,Topdeck
"Eloise, Nephalia Sleuth",Human Rogue,5.0,"B, U","Whenever another creature you control dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")Whenever you sacrifice a token, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)","Surveil, Investigate",4,4,Clues
"Elrond, Master of Healing",Elf Noble,4.0,"G, U","Whenever you scry, put a +1/+1 counter on each of up to X target creatures, where X is the number of cards looked at while scrying this way.Whenever a creature you control with a +1/+1 counter on it becomes the target of a spell or ability an opponent controls, you may draw a card.",,4,4,Topdeck
Elrond of the White Council,Elf Noble,5.0,"G, U","Secret council — When Elrond enters, each player secretly votes for fellowship or aid, then those votes are revealed. For each fellowship vote, the voter chooses a creature they control. You gain control of each creature chosen this way, and they gain ""This creature can't attack its owner."" Then for each aid vote, put a +1/+1 counter on each creature you control.",Secret council,3,3,Elves
Elsha of the Infinite,Djinn Monk,5.0,"R, U, W","Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)You may look at the top card of your library any time.You may cast noncreature spells from the top of your library. If you cast a spell this way, you may cast it as though it had flash.",Prowess,3,3,Prowess
"Elsha, Threefold Master",Djinn Monk,3.0,"R, U, W","TrampleProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever Elsha deals combat damage to a player, create that many 1/1 white Monk creature tokens with prowess.","Prowess, Trample",1,1,Prowess
"Eluge, the Shoreless Sea",Elemental Fish,4.0,U,"Eluge's power and toughness are each equal to the number of Islands you control.Whenever Eluge enters or attacks, put a flood counter on target land. It's an Island in addition to its other types for as long as it has a flood counter on it.The first instant or sorcery spell you cast each turn costs {U} (or {1}) less to cast for each land you control with a flood counter on it.",,0,0,Extra Turns
Emiel the Blessed,Unicorn,4.0,"G, W","{3}: Exile another target creature you control, then return it to the battlefield under its owner's control.Whenever another creature you control enters, you may pay {G/W}. If you do, put a +1/+1 counter on it. If it's a Unicorn, put two +1/+1 counters on it instead. ({G/W} can be paid with either {G} or {W}.)",,4,4,Unicorns
"Emmara, Soul of the Accord",Elf Cleric,2.0,"G, W","Whenever Emmara becomes tapped, create a 1/1 white Soldier creature token with lifelink.",,2,2,Convoke
Emperor Mihail II,Merfolk Noble,3.0,U,"You may look at the top card of your library any time.You may cast Merfolk spells from the top of your library.Whenever you cast a Merfolk spell, you may pay {1}. If you do, create a 1/1 blue Merfolk creature token.",,3,3,Merfolk
Empress Galina,Merfolk Noble,5.0,U,"{U}{U}, {T}: Gain control of target legendary permanent. (This effect lasts indefinitely.)",,1,3,Theft
"Emrakul, the Promised End",Eldrazi,13.0,No Color Identity,"This spell costs {1} less to cast for each card type among cards in your graveyard.When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.Flying, trample, protection from instants","Flying, Protection, Trample",13,13,Eldrazi
"Emry, Lurker of the Loch",Merfolk Wizard,3.0,U,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)When Emry enters, mill four cards.{T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)","Affinity, Mill",1,2,Artifacts
"Endrek Sahr, Master Breeder",Human Wizard,5.0,B,"Whenever you cast a creature spell, create X 1/1 black Thrull creature tokens, where X is that spell's mana value.When you control seven or more Thrulls, sacrifice Endrek Sahr.",,2,2,Aristocrats
"Enkira, Hostile Scavenger",Human Warrior,5.0,"B, G","When Enkira, Hostile Scavenger enters, create two Walker tokens. (They're 2/2 black Zombie creatures.)As long as Enkira is equipped, it must be blocked if able.Whenever Enkira and at least two Zombies attack, Enkira gains indestructible until end of turn.",,3,3,Zombies
"Eomer, King of Rohan",Human Noble,5.0,"R, W","Double strikeÉomer enters with a +1/+1 counter on it for each other Human you control.When Éomer enters, target player becomes the monarch. Éomer deals damage equal to its power to any target.",Double strike,2,2,Humans
"Eowyn, Shieldmaiden",Human Knight,5.0,"R, U, W","First strikeAt the beginning of combat on your turn, if another Human entered the battlefield under your control this turn, create two 2/2 red Human Knight creature tokens with trample and haste. Then if you control six or more Humans, draw a card.",First strike,5,4,Humans
"Ephara, God of the Polis",God,4.0,"U, W","IndestructibleAs long as your devotion to white and blue is less than seven, Ephara isn't a creature.At the beginning of each upkeep, if you had another creature enter the battlefield under your control last turn, draw a card.",Indestructible,6,5,Blink
"Erebos, God of the Dead",God,4.0,B,"IndestructibleAs long as your devotion to black is less than five, Erebos isn't a creature. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)Your opponents can't gain life.{1}{B}, Pay 2 life: Draw a card.",Indestructible,5,7,Devotion
Erestor of the Council,Elf Noble,3.0,"G, U","Whenever players finish voting, each opponent who voted for a choice you voted for creates a Treasure token. You scry X, where X is the number of opponents who voted for a choice you didn't vote for. Draw a card.","Treasure, Scry",2,4,Elves
Eriette of the Charmed Apple,Human Warlock,3.0,"B, W","Each creature that's enchanted by an Aura you control can't attack you or planeswalkers you control.At the beginning of your end step, each opponent loses X life and you gain X life, where X is the number of Auras you control.",,2,4,Auras
"Eriette, the Beguiler",Human Warlock,4.0,"B, U, W","LifelinkWhenever an Aura you control becomes attached to a nonland permanent an opponent controls with mana value less than or equal to that Aura's mana value, gain control of that permanent for as long as that Aura is attached to it.",Lifelink,4,4,Auras
"Eris, Roar of the Storm",Elemental Warlock,10.0,"R, U","This spell costs {2} less to cast for each different mana value among instant and sorcery cards in your graveyard.Flying, prowessWhenever you cast your second spell each turn, create a 4/4 red Dragon Elemental creature token with flying and prowess.","Flying, Prowess",4,4,Spellslinger
Eron the Relentless,Human Rogue,5.0,R,Haste{R}{R}{R}: Regenerate Eron.,Haste,5,2,Old School
Errant and Giada,Human Angel,3.0,"U, W",FlashFlyingYou may look at the top card of your library any time.You may cast spells with flash or flying from the top of your library.,"Flying, Flash",2,3,Flying
"Errant, Street Artist",Human Rogue,1.0,U,"FlashDefender, haste{1}{U}, {T}: Copy target spell you control that wasn't cast. You may choose new targets for the copy.","Haste, Flash, Defender",0,3,Spell Copy
Ertai Resurrected,Phyrexian Human Wizard,4.0,"B, U","FlashWhen Ertai Resurrected enters, choose up to one —• Counter target spell, activated ability, or triggered ability. Its controller draws a card.• Destroy another target creature or planeswalker. Its controller draws a card.",Flash,3,2,Flash
"Ertai, Wizard Adept",Human Wizard,3.0,U,"{2}{U}{U}, {T}: Counter target spell.",,1,1,Counterspells
"Ertha Jo, Frontier Mentor",Kor Advisor,4.0,"R, W","When Ertha Jo enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""Whenever you activate an ability that targets a creature or player, copy that ability. You may choose new targets for the copy.",,2,4,Pingers
"Eruth, Tormented Prophet",Human Wizard,3.0,"R, U","If you would draw a card, exile the top two cards of your library instead. You may play those cards this turn.",,2,4,Impulse Draw
"Eshki, Temur's Roar",Human Warrior,3.0,"G, R, U","Whenever you cast a creature spell, put a +1/+1 counter on Eshki. If that spell's power is 4 or greater, draw a card. If that spell's power is 6 or greater, Eshki deals damage equal to Eshki's power to each opponent.",,2,2,Evoke
"Esix, Fractal Bloom",Fractal,6.0,"G, U","FlyingThe first time you would create one or more tokens during each of your turns, you may instead choose a creature other than Esix and create that many tokens that are copies of that creature.",Flying,4,4,Tokens
"Estrid, the Masked",Estrid,4.0,"G, U, W","+2: Untap each enchanted permanent you control.−1: Create a white Aura enchantment token named Mask attached to another target permanent. The token has enchant permanent and umbra armor.−7: Mill seven cards. Return all non-Aura enchantment cards from your graveyard to the battlefield, then do the same for Aura cards.Estrid, the Masked can be your commander.",Mill,0,0,Auras
"Etali, Primal Storm",Elder Dinosaur,6.0,R,"Whenever Etali attacks, exile the top card of each player's library, then you may cast any number of spells from among those cards without paying their mana costs.",,6,6,Extra Combats
"Etrata, Deadly Fugitive",Vampire Assassin,3.0,"B, U","DeathtouchFace-down creatures you control have ""{2}{U}{B}: Turn this creature face up. If you can't, exile it, then you may cast the exiled card without paying its mana cost.""Whenever an Assassin you control deals combat damage to an opponent, cloak the top card of that player's library.","Cloak, Deathtouch",1,4,Assassins
"Etrata, the Silencer",Vampire Assassin,4.0,"B, U","Etrata can't be blocked.Whenever Etrata deals combat damage to a player, exile target creature that player controls and put a hit counter on that card. That player loses the game if they own three or more exiled cards with hit counters on them. Etrata's owner shuffles Etrata into their library.",,3,5,Assassins
"Evelyn, the Covetous",Vampire Rogue,5.0,"B, R, U","FlashWhenever Evelyn or another Vampire you control enters, exile the top card of each player's library with a collection counter on it.Once each turn, you may play a card from exile with a collection counter on it if it was exiled by an ability you controlled, and you may spend mana as though it were mana of any color to cast it.",Flash,2,5,Vampires
"Evereth, Viceroy of Plunder",Vampire Soldier,3.0,"B, R","FlyingSacrifice another creature or artifact: Put a +1/+1 counter on Evereth. If the sacrificed permanent was a Treasure, Evereth gains lifelink until end of turn. Activate only as a sorcery.When Evereth dies, you may pay {1}{B/R}. When you do, Evereth deals damage equal to its power to each opponent.",Flying,2,2,Treasure
Experiment Kraj,Ooze Mutant,6.0,"G, U",Experiment Kraj has all activated abilities of each other creature with a +1/+1 counter on it.{T}: Put a +1/+1 counter on target creature.,,4,6,Oozes
Ezio Auditore da Firenze,Human Assassin,2.0,"B, G, R, U, W","MenaceAssassin spells you cast have freerunning {B}{B}. (You may cast a spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.)Whenever Ezio deals combat damage to a player, you may pay {W}{U}{B}{R}{G} if that player has 10 or less life. When you do, that player loses the game.",Menace,3,2,Assassins
"Ezio, Blade of Vengeance",Human Assassin,5.0,"B, U","Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)Whenever an Assassin you control deals combat damage to a player, draw a card.",Deathtouch,5,5,Assassins
"Ezrim, Agency Chief",Archon Detective,5.0,"U, W","FlyingWhen Ezrim enters, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card.""){1}, Sacrifice an artifact: Ezrim gains your choice of vigilance, lifelink, or hexproof until end of turn.","Flying, Investigate",5,5,Clues
"Ezuri, Claw of Progress",Phyrexian Elf Warrior,4.0,"G, U","Whenever a creature you control with power 2 or less enters, you get an experience counter.At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is the number of experience counters you have.",,3,3,+1/+1 Counters
"Ezuri, Renegade Leader",Elf Warrior,3.0,G,{G}: Regenerate another target Elf.{2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn.,,2,2,Elves
"Ezuri, Stalker of Spheres",Phyrexian Elf Warrior,4.0,"G, U","When Ezuri enters, you may pay {3}. If you do, proliferate twice.Whenever you proliferate, draw a card.",Proliferate,3,3,Infect
"Falco Spara, Pactweaver",Bird Demon,4.0,"G, U, W","Flying, trampleFalco Spara enters with a shield counter on it.You may look at the top card of your library any time.You may cast spells from the top of your library by removing a counter from a creature you control in addition to paying their other costs.","Flying, Trample",3,3,+1/+1 Counters
"Faldorn, Dread Wolf Herald",Human Druid,3.0,"G, R","Whenever you cast a spell from exile or a land you control enters from exile, create a 2/2 green Wolf creature token.{1}, {T}, Discard a card: Exile the top card of your library. You may play it this turn.",,3,3,Exile
"Fangorn, Tree Shepherd",Treefolk,7.0,G,"Treefolk you control have vigilance.Whenever one or more Treefolk you control attack, add twice that much {G}.You don't lose unspent green mana as steps and phases end.",,4,10,Treefolk
"Faramir, Prince of Ithilien",Human Noble,4.0,"U, W","At the beginning of your end step, choose an opponent. At the beginning of that player's next end step, you draw a card if they didn't attack you that turn. Otherwise, create three 1/1 white Human Soldier creature tokens.",,3,3,Soldiers
"Faramir, Steward of Gondor",Human Noble,3.0,"U, W","Whenever a legendary creature you control with mana value 4 or greater enters, you become the monarch.At the beginning of your end step, if you're the monarch, create two 1/1 white Human Soldier creature tokens.",,2,2,Monarch
"Farideh, Devil's Chosen",Tiefling Warlock,4.0,"R, U","Dark One's Own Luck — Whenever you roll one or more dice, Farideh gains flying and menace until end of turn. If any of those results was 10 or higher, draw a card.",,3,3,Die Roll
Farmer Cotton,Halfling Peasant,2.0,"G, W","When this creature enters, create X 1/1 white Halfling creature tokens and X Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",Food,1,1,Food
"Fblthp, Lost on the Range",Homunculus,3.0,U,Ward {2}You may look at the top card of your library any time.The top card of your library has plot. The plot cost is equal to its mana cost.You may plot nonland cards from the top of your library.,"Plot, Ward",1,1,Cheerios
"Fblthp, the Lost",Homunculus,2.0,U,"When Fblthp enters, draw a card. If it entered from your library or was cast from your library, draw two cards instead.When Fblthp becomes the target of a spell, shuffle Fblthp into its owner's library.",,1,1,Creatureless
"Feather, Radiant Arbiter",Angel,3.0,"R, W","Flying, lifelinkWhenever you cast a noncreature spell that targets only Feather, you may choose any number of other creatures that spell could target and pay {2} for each of those creatures. If you do, for each of those creatures, copy that spell. The copy targets that creature. (Copies of permanent spells become tokens.)","Flying, Lifelink",4,3,Mice
"Feather, the Redeemed",Angel,3.0,"R, W","FlyingWhenever you cast an instant or sorcery spell that targets a creature you control, exile that card instead of putting it into your graveyard as it resolves. If you do, return it to your hand at the beginning of the next end step.",Flying,3,4,Sunforger
"Felisa, Fang of Silverquill",Vampire Wizard,4.0,"B, W","FlyingMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)Whenever a nontoken creature you control dies, if it had counters on it, create X tapped 2/1 white and black Inkling creature tokens with flying, where X is the number of counters it had on it.","Flying, Mentor",3,2,Modular
Felix Five-Boots,Ooze Rogue,5.0,"B, G, U","Menace, ward {2}If a creature you control dealing combat damage to a player causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.","Menace, Ward",5,4,Ninjutsu
Felothar the Steadfast,Human Warrior,4.0,"B, G, W","Each creature you control assigns combat damage equal to its toughness rather than its power.Creatures you control can attack as though they didn't have defender.{3}, {T}, Sacrifice another creature: Draw cards equal to the sacrificed creature's toughness, then discard cards equal to its power.",,0,5,Defenders
"Finneas, Ace Archer",Rabbit Archer,2.0,"G, W","Vigilance, reachWhenever Finneas attacks, put a +1/+1 counter on each other creature you control that's a token or a Rabbit. Then if creatures you control have total power 10 or greater, draw a card.","Reach, Vigilance",2,2,Rabbits
Firesong and Sunspeaker,Minotaur Cleric,6.0,"R, W","Red instant and sorcery spells you control have lifelink.Whenever a white instant or sorcery spell causes you to gain life, Firesong and Sunspeaker deals 3 damage to target creature or player.",,4,6,Burn
"Firja, Judge of Valor",Angel Cleric,5.0,"B, W","Flying, lifelinkWhenever you cast your second spell each turn, look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.","Flying, Lifelink",2,4,Reanimator
"Firkraag, Cunning Instigator",Dragon,5.0,"R, U","Flying, hasteWhenever one or more Dragons you control attack an opponent, goad target creature that player controls.Whenever a creature deals combat damage to one of your opponents, if that creature had to attack this combat, you put a +1/+1 counter on Firkraag and you draw a card.","Flying, Goad, Haste",3,3,Dragons
"Florian, Voldaren Scion",Vampire Noble,3.0,"B, R","First strikeAt the beginning of each of your postcombat main phases, look at the top X cards of your library, where X is the total amount of life your opponents lost this turn. Exile one of those cards and put the rest on the bottom of your library in a random order. You may play the exiled card this turn.",First strike,3,3,Dragon's Approach
"Flubs, the Fool",Frog Scout,3.0,"G, R, U","You may play an additional land on each of your turns.Whenever you play a land or cast a spell, draw a card if you have no cards in hand. Otherwise, discard a card.",,0,5,Lands Matter
"Freyalise, Llanowar's Fury",Freyalise,5.0,G,"+2: Create a 1/1 green Elf Druid creature token with ""{T}: Add {G}.""−2: Destroy target artifact or enchantment.−6: Draw a card for each green creature you control.Freyalise, Llanowar's Fury can be your commander.",,0,0,Elves
Frodo Baggins,Halfling Scout,2.0,"G, W","Whenever Frodo Baggins or another legendary creature you control enters, the Ring tempts you.As long as Frodo Baggins is your Ring-bearer, it must be blocked if able.",,1,3,Halflings
"Frodo, Sauron's Bane",Halfling Citizen,1.0,"B, W","{W/B}{W/B}: If Frodo is a Citizen, it becomes a Halfling Scout with base power and toughness 2/3 and lifelink.{B}{B}{B}: If Frodo is a Scout, it becomes a Halfling Rogue with ""Whenever this creature deals combat damage to a player, that player loses the game if the Ring has tempted you four or more times this game. Otherwise, the Ring tempts you.""",,1,2,Lurrus Companion
"Fumulus, the Infestation",Vampire Insect,4.0,B,"Flying, deathtouchWhenever a player sacrifices a nontoken creature, create a 1/1 black Insect creature token with flying.Whenever an Insect, Leech, Slug, or Worm you control attacks, defending player loses 1 life and you gain 1 life.","Deathtouch, Flying",2,2,Insects
"Fynn, the Fangbearer",Human Warrior,2.0,G,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)Whenever a creature you control with deathtouch deals combat damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)",Deathtouch,1,3,Deathtouch
Gabriel Angelfire,Angel,7.0,"G, W","At the beginning of your upkeep, choose flying, first strike, trample, or rampage 3. Gabriel Angelfire gains that ability until your next upkeep. (Whenever a creature with rampage 3 becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)","First strike, Trample",4,4,Lure
Gaddock Teeg,Kithkin Advisor,2.0,"G, W",Noncreature spells with mana value 4 or greater can't be cast.Noncreature spells with {X} in their mana costs can't be cast.,,2,2,Hatebears
"Gahiji, Honored One",Beast,5.0,"G, R, W","Whenever a creature attacks one of your opponents or a planeswalker an opponent controls, that creature gets +2/+0 until end of turn.",,4,4,Beasts
"Galadriel, Elven-Queen",Elf Noble,4.0,"G, U","Will of the council — At the beginning of combat on your turn, if another Elf entered the battlefield under your control this turn, starting with you, each player votes for dominion or guidance. If dominion gets more votes, the Ring tempts you, then you put a +1/+1 counter on your Ring-bearer. If guidance gets more votes or the vote is tied, draw a card.",Will of the council,4,5,Elves
"Galadriel, Light of Valinor",Elf Noble,5.0,"G, U, W","Alliance — Whenever another creature you control enters, choose one that hasn't been chosen this turn —• Add {G}{G}{G}.• Put a +1/+1 counter on each creature you control.• Scry 2, then draw a card.","Alliance, Scry",3,3,Elves
Galadriel of Lothlorien,Elf Noble,3.0,"G, U","Whenever the Ring tempts you, if you chose a creature other than Galadriel as your Ring-bearer, scry 3.Whenever you scry, you may reveal the top card of your library. If a land card is revealed this way, put it onto the battlefield tapped.",Scry,3,3,Topdeck
Galazeth Prismari,Elder Dragon,4.0,"R, U","FlyingWhen Galazeth Prismari enters, create a Treasure token.Artifacts you control have ""{T}: Add one mana of any color. Spend this mana only to cast an instant or sorcery spell.""","Flying, Treasure",3,4,Treasure
"Galea, Kindler of Hope",Elf Knight,4.0,"G, U, W","VigilanceYou may look at the top card of your library any time.You may cast Aura and Equipment spells from the top of your library. When you cast an Equipment spell this way, it gains ""When this Equipment enters, attach it to target creature you control.""",Vigilance,4,4,Equipment
Gallia of the Endless Dance,Satyr,2.0,"G, R","HasteOther Satyrs you control get +1/+1 and have haste.Whenever you attack with three or more creatures, you may discard a card at random. If you do, draw two cards.",Haste,2,2,Satyrs
"Gandalf, Friend of the Shire",Avatar Wizard,4.0,U,"FlashYou may cast sorcery spells as though they had flash.Whenever the Ring tempts you, if you chose a creature other than Gandalf as your Ring-bearer, draw a card.",Flash,2,4,The Ring
Gandalf of the Secret Fire,Avatar Wizard,4.0,"R, U, W","Whenever you cast an instant or sorcery spell from your hand during an opponent's turn, exile that card with three time counters on it instead of putting it into your graveyard as it resolves. Then if the exiled card doesn't have suspend, it gains suspend. (At the beginning of your upkeep, remove a time counter. When the last is removed, you may play it without paying its mana cost.)",,3,4,Suspend
Gandalf the Grey,Avatar Wizard,5.0,"R, U","Whenever you cast an instant or sorcery spell, choose one that hasn't been chosen —• You may tap or untap target permanent.• Gandalf deals 3 damage to each opponent.• Copy target instant or sorcery spell you control. You may choose new targets for the copy.• Put Gandalf on top of its owner's library.",,3,4,Wizards
Gandalf the White,Avatar Wizard,5.0,W,"FlashYou may cast legendary spells and artifact spells as though they had flash.If a legendary permanent or an artifact entering or leaving the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",Flash,4,5,Historic
"Gandalf, Westward Voyager",Avatar Wizard,5.0,"G, U","Whenever you cast a spell with mana value 5 or greater, each opponent reveals the top card of their library. If any of those cards shares a card type with that spell, copy that spell, you may choose new targets for the copy, and each opponent draws a card. Otherwise, you draw a card. (A copy of a permanent spell becomes a token.)",,5,5,Keruga Companion
"Gargos, Vicious Watcher",Hydra,6.0,G,"VigilanceHydra spells you cast cost {4} less to cast.Whenever a creature you control becomes the target of a spell, Gargos fights up to one target creature you don't control.","Vigilance, Fight",8,7,+1/+1 Counters
"Garna, Bloodfist of Keld",Human Berserker,4.0,"B, R","Whenever another creature you control dies, draw a card if it was attacking. Otherwise, Garna deals 1 damage to each opponent.",,4,3,Berserkers
Garth One-Eye,Human Wizard,5.0,"B, G, R, U, W","{T}: Choose a card name that hasn't been chosen from among Disenchant, Braingeyser, Terror, Shivan Dragon, Regrowth, and Black Lotus. Create a copy of the card with the chosen name. You may cast the copy. (You still pay its costs.)",,5,5,Blink
"Garza Zol, Plague Queen",Vampire Noble,7.0,"B, R, U","Flying, hasteWhenever a creature dealt damage by Garza Zol this turn dies, put a +1/+1 counter on Garza Zol.Whenever Garza Zol deals combat damage to a player, you may draw a card.","Flying, Haste",5,5,Specters
"Gavi, Nest Warden",Human Shaman,5.0,"R, U, W","You may pay {0} rather than pay the cycling cost of the first card you cycle each turn.Whenever you draw your second card each turn, create a 2/2 red and white Dinosaur Cat creature token.",,2,5,Cycling
Geist of Saint Traft,Spirit Cleric,3.0,"U, W","Hexproof (This creature can't be the target of spells or abilities your opponents control.)Whenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat.",Hexproof,2,2,Spirits
General Ferrous Rokiric,Human Soldier,3.0,"R, W","Hexproof from monocoloredWhenever you cast a multicolored spell, create a 4/4 red and white Golem artifact creature token.","Hexproof from, Hexproof",3,1,Sunforger
